freq (Hz),Gain (dB),Phase (degC)
10.13911386,69.4695417,102.3474504
10.28016298,69.35488616,102.1853188
10.42317429,69.24009129,102.0252479
10.56817509,69.12516059,101.8672173
10.71519305,69.01009742,101.7112068
10.86425624,68.89490513,101.5571959
11.0153931,68.77958693,101.4051644
11.16863248,68.66414601,101.2550921
11.32400363,68.54858546,101.1069588
11.48153621,68.43290829,100.9607444
11.64126029,68.31711747,100.8164286
11.80320636,68.20121587,100.6739916
11.96740531,68.08520631,100.5334134
12.1338885,67.96909154,100.3946741
12.30268771,67.85287425,100.257754
12.47383514,67.73655706,100.1226333
12.64736347,67.62014251,99.98929241
12.82330583,67.50363312,99.85771194
13.00169578,67.38703132,99.72787246
13.18256739,67.27033948,99.59975472
13.36595517,67.15355993,99.47333955
13.55189412,67.03669493,99.34860794
13.74041975,66.9197467,99.22554099
13.93156803,66.80271737,99.10411991
14.12537545,66.68560907,98.98432606
14.32187899,66.56842384,98.86614094
14.52111618,66.45116368,98.74954619
14.72312502,66.33383054,98.63452356
14.9279441,66.21642632,98.52105498
15.13561248,66.09895288,98.40912252
15.34616983,65.98141203,98.29870838
15.55965632,65.86380553,98.18979493
15.7761127,65.7461351,98.08236467
15.99558029,65.62840241,97.97640029
16.21810097,65.51060911,97.87188459
16.44371723,65.39275679,97.76880057
16.67247213,65.27484699,97.66713136
16.90440932,65.15688123,97.56686027
17.13957308,65.03886099,97.46797075
17.37800829,64.9207877,97.37044642
17.61976046,64.80266277,97.27427108
17.86487575,64.68448755,97.17942866
18.11340093,64.56626339,97.08590328
18.36538343,64.44799158,96.99367921
18.62087137,64.32967337,96.9027409
18.87991349,64.21131,96.81307295
19.14255925,64.09290268,96.72466012
19.40885878,63.97445256,96.63748736
19.6788629,63.85596079,96.55153976
19.95262315,63.73742847,96.46680259
20.23019179,63.61885669,96.38326127
20.51162179,63.50024649,96.30090141
20.79696687,63.3815989,96.21970875
21.0862815,63.26291492,96.13966923
21.3796209,63.14419552,96.06076893
21.67704105,63.02544165,95.9829941
21.97859873,62.90665422,95.90633115
22.28435149,62.78783415,95.83076665
22.5943577,62.6689823,95.75628735
22.90867653,62.55009952,95.68288014
23.22736796,62.43118664,95.61053207
23.55049284,62.31224447,95.53923038
23.87811283,62.1932738,95.46896242
24.21029047,62.0742754,95.39971573
24.54708916,61.95525,95.33147802
24.88857318,61.83619834,95.26423711
25.23480772,61.71712112,95.19798102
25.58585887,61.59801902,95.13269791
25.94179362,61.47889273,95.06837607
26.30267992,61.3597429,95.00500399
26.66858665,61.24057015,94.94257027
27.03958364,61.12137511,94.88106367
27.41574172,61.00215838,94.82047312
27.79713268,60.88292054,94.76078767
28.18382931,60.76366218,94.70199655
28.57590543,60.64438383,94.6440891
28.97343588,60.52508605,94.58705482
29.37649652,60.40576936,94.53088338
29.78516429,60.28643428,94.47556456
30.1995172,60.1670813,94.42108828
30.61963434,60.0477109,94.36744464
31.04559588,59.92832357,94.31462383
31.47748314,59.80891977,94.26261621
31.91537855,59.68949993,94.21141228
32.35936569,59.5700645,94.16100266
32.80952931,59.45061391,94.11137811
33.26595533,59.33114857,94.06252953
33.72873087,59.21166887,94.01444795
34.19794425,59.09217522,93.96712453
34.67368505,58.97266799,93.92055058
35.15604405,58.85314755,93.8747175
35.64511334,58.73361428,93.82961685
36.14098626,58.61406851,93.78524032
36.64375746,58.49451059,93.74157971
37.15352291,58.37494087,93.69862694
37.6703799,58.25535965,93.65637409
38.19442708,58.13576726,93.61481332
38.72576449,58.01616401,93.57393693
39.26449354,57.8965502,93.53373737
39.81071706,57.77692611,93.49420715
40.3645393,57.65729204,93.45533895
40.92606597,57.53764825,93.41712555
41.49540426,57.41799503,93.37955985
42.07266284,57.29833262,93.34263485
42.65795188,57.1786613,93.30634369
43.2513831,57.0589813,93.2706796
43.85306978,56.93929287,93.23563595
44.46312675,56.81959624,93.20120619
45.08167045,56.69989165,93.16738391
45.70881896,56.58017932,93.13416279
46.34469197,56.46045946,93.10153663
46.98941086,56.3407323,93.06949933
47.64309868,56.22099803,93.03804491
48.3058802,56.10125685,93.00716748
48.97788194,55.98150898,92.97686126
49.65923215,55.86175459,92.94712059
50.35006088,55.74199387,92.91793988
51.0505,55.622227,92.88931368
51.7606832,55.50245416,92.86123662
52.48074602,55.38267553,92.83370343
53.21082593,55.26289127,92.80670895
53.95106225,55.14310155,92.78024812
54.70159629,55.02330652,92.75431596
55.4625713,54.90350634,92.72890761
56.23413252,54.78370116,92.70401829
57.01642723,54.66389113,92.67964333
57.80960474,54.5440764,92.65577814
58.61381645,54.42425711,92.63241824
59.42921586,54.30443339,92.60955923
60.25595861,54.18460538,92.58719682
61.09420249,54.0647732,92.56532678
61.94410751,53.94493699,92.54394502
62.80583588,53.82509687,92.52304749
63.67955209,53.70525297,92.50263026
64.5654229,53.58540539,92.48268949
65.46361741,53.46555426,92.46322142
66.37430704,53.3456997,92.44422238
67.29766563,53.2258418,92.42568879
68.23386941,53.10598068,92.40761714
69.18309709,52.98611645,92.39000404
70.14552984,52.86624921,92.37284616
71.12135137,52.74637905,92.35614026
72.11074792,52.62650609,92.33988319
73.11390835,52.5066304,92.32407188
74.13102413,52.3867521,92.30870335
75.1622894,52.26687127,92.29377468
76.207901,52.14698801,92.27928307
77.26805851,52.02710239,92.26522578
78.34296428,51.90721452,92.25160014
79.43282347,51.78732447,92.2384036
80.53784412,51.66743233,92.22563364
81.65823714,51.54753818,92.21328786
82.79421637,51.4276421,92.20136392
83.94599865,51.30774417,92.18985958
85.11380382,51.18784447,92.17877264
86.29785478,51.06794307,92.16810103
87.49837752,50.94804006,92.15784272
88.7156012,50.8281355,92.14799576
89.94975815,50.70822946,92.13855831
91.20108394,50.58832202,92.12952856
92.46981739,50.46841326,92.12090483
93.75620069,50.34850323,92.11268546
95.06047937,50.228592,92.10486891
96.38290236,50.10867966,92.0974537
97.7237221,49.98876625,92.09043842
99.08319449,49.86885185,92.08382175
100.461579,49.74893653,92.07760244
101.8591388,49.62902034,92.07177931
103.2761406,49.50910335,92.06635125
104.7128548,49.38918563,92.06131725
106.1695557,49.26926723,92.05667634
107.6465214,49.14934823,92.05242766
109.1440336,49.02942868,92.04857038
110.6623784,48.90950863,92.0451038
112.2018454,48.78958817,92.04202725
113.7627286,48.66966734,92.03934014
115.3453258,48.5497462,92.03704198
116.9499391,48.42982482,92.03513232
118.5768748,48.30990325,92.03361081
120.2264435,48.18998156,92.03247716
121.8989599,48.0700598,92.03173116
123.5947433,47.95013803,92.03137266
125.3141175,47.83021633,92.0314016
127.0574105,47.71029473,92.03181798
128.8249552,47.59037331,92.0326219
130.6170888,47.47045212,92.03381349
132.4341535,47.35053122,92.03539299
134.2764961,47.23061068,92.0373607
136.1444682,47.11069056,92.03971699
138.0384265,46.99077091,92.04246232
139.9587323,46.87085179,92.04559719
141.9057522,46.75093328,92.04912222
143.8798578,46.63101542,92.05303806
145.881426,46.51109829,92.05734547
147.9108388,46.39118195,92.06204526
149.9684836,46.27126646,92.06713831
152.054753,46.15135188,92.07262561
154.1700453,46.03143828,92.07850819
156.3147643,45.91152573,92.08478717
158.4893192,45.79161429,92.09146374
160.6941253,45.67170403,92.09853916
162.9296033,45.55179502,92.10601478
165.1961798,45.43188733,92.11389201
167.4942876,45.31198103,92.12217236
169.8243652,45.19207618,92.13085739
172.1868575,45.07217287,92.13994875
174.5822153,44.95227117,92.14944816
177.0108958,44.83237115,92.15935742
179.4733627,44.71247288,92.16967842
181.9700859,44.59257645,92.1804131
184.5015419,44.47268194,92.19156351
187.068214,44.35278942,92.20313176
189.6705921,44.23289898,92.21512003
192.3091729,44.1130107,92.22753061
194.98446,43.99312466,92.24036584
197.696964,43.87324096,92.25362815
200.4472027,43.75335967,92.26732006
203.2357011,43.6334809,92.28144416
206.0629913,43.51360473,92.29600313
208.9296131,43.39373127,92.31099971
211.8361135,43.27386059,92.32643675
214.7830474,43.15399281,92.34231718
217.7709772,43.03412803,92.35864399
220.8004733,42.91426634,92.37542028
223.8721139,42.79440786,92.39264923
226.9864852,42.67455269,92.41033408
230.1441817,42.55470093,92.42847819
233.3458062,42.43485272,92.44708498
236.5919697,42.31500815,92.46615798
239.8832919,42.19516735,92.48570079
243.2204009,42.07533044,92.50571711
246.6039337,41.95549755,92.52621071
250.0345362,41.8356688,92.54718547
253.512863,41.71584432,92.56864535
257.0395783,41.59602424,92.5905944
260.615355,41.47620871,92.61303678
264.2408757,41.35639786,92.6359767
267.9168325,41.23659184,92.65941851
271.6439269,41.11679079,92.68336662
275.4228703,40.99699488,92.70782556
279.2543841,40.87720424,92.73279994
283.1391996,40.75741905,92.75829446
287.0780582,40.63763946,92.78431392
291.0717118,40.51786564,92.81086325
295.1209227,40.39809777,92.83794742
299.2264637,40.27833603,92.86557155
303.3891184,40.15858058,92.89374084
307.6096815,40.03883163,92.92246058
311.8889584,39.91908935,92.95173618
316.227766,39.79935396,92.98157315
320.6269325,39.67962564,93.01197709
325.0872974,39.55990461,93.04295373
329.6097122,39.44019108,93.07450887
334.19504,39.32048526,93.10664846
338.8441561,39.20078738,93.13937851
343.5579479,39.08109767,93.17270518
348.337315,38.96141637,93.20663471
353.1831698,38.84174371,93.24117347
358.0964371,38.72207995,93.27632793
363.0780548,38.60242534,93.31210468
368.1289736,38.48278015,93.34851041
373.2501578,38.36314464,93.38555195
378.4425847,38.2435191,93.42323621
383.7072455,38.1239038,93.46157025
389.045145,38.00429904,93.50056124
394.4573021,37.88470512,93.54021645
399.9447498,37.76512234,93.58054329
405.5085354,37.64555103,93.62154928
411.1497211,37.52599151,93.66324207
416.8693835,37.40644412,93.70562944
422.6686143,37.28690919,93.74871926
428.5485204,37.16738709,93.79251958
434.5102242,37.04787817,93.83703853
440.5548635,36.92838281,93.8822844
446.6835922,36.80890138,93.92826558
452.8975799,36.68943429,93.97499061
459.1980128,36.56998194,94.02246816
465.5860935,36.45054474,94.07070704
472.0630413,36.33112312,94.11971617
478.6300923,36.21171752,94.16950464
485.2885002,36.09232838,94.22008164
492.0395357,35.97295618,94.27145652
498.8844875,35.85360139,94.32363877
505.824662,35.73426449,94.37663802
512.861384,35.61494599,94.43046403
519.9959965,35.4956464,94.48512671
527.2298614,35.37636626,94.54063612
534.5643594,35.2571061,94.59700246
542.0008904,35.1378665,94.65423607
549.5408739,35.01864802,94.71234746
557.1857489,34.89945125,94.77134727
564.9369748,34.78027681,94.8312463
572.796031,34.66112531,94.89205549
580.7644175,34.5419974,94.95378594
588.8436554,34.42289374,95.01644892
597.0352866,34.303815,95.08005584
605.3408748,34.18476188,95.14461827
613.7620052,34.06573509,95.21014793
622.3002852,33.94673536,95.27665671
630.9573445,33.82776346,95.34415667
639.7348355,33.70882016,95.41266
648.6344335,33.58990624,95.4821791
657.6578374,33.47102254,95.55272649
666.8067692,33.35216989,95.62431489
676.0829754,33.23334916,95.69695715
685.4882265,33.11456123,95.77066633
695.0243176,32.99580701,95.84545563
704.693069,32.87708744,95.92133842
714.4963261,32.75840349,95.99832827
724.4359601,32.63975614,96.07643888
734.5138682,32.5211464,96.15568416
744.7319739,32.40257533,96.23607818
755.0922277,32.28404399,96.31763517
765.5966069,32.16555348,96.40036956
776.2471166,32.04710494,96.48429595
787.0457897,31.92869952,96.56942912
797.9946873,31.81033843,96.65578401
809.0958992,31.69202288,96.74337576
820.3515443,31.57375414,96.83221968
831.7637711,31.4555335,96.92233126
843.3347578,31.33736229,97.01372619
855.0667129,31.21924187,97.1064203
866.9618758,31.10117365,97.20042965
879.0225168,30.98315907,97.29577045
891.2509381,30.8651996,97.3924591
903.6494737,30.74729677,97.49051218
916.2204901,30.62945213,97.58994648
928.9663868,30.51166728,97.69077892
941.8895965,30.39394389,97.79302665
954.992586,30.27628362,97.89670699
968.2778563,30.15868822,98.00183742
981.747943,30.04115947,98.10843563
995.4054174,29.9236992,98.21651949
1009.252886,29.80630929,98.32610702
1023.292992,29.68899167,98.43721646
1037.528416,29.57174831,98.5498662
1051.961874,29.45458126,98.66407483
1066.596121,29.3374926,98.77986109
1081.433951,29.22048448,98.89724393
1096.478196,29.10355909,99.01624244
1111.731727,28.9867187,99.1368759
1127.197456,28.86996563,99.25916377
1142.878335,28.75330225,99.38312566
1158.777356,28.63673102,99.50878135
1174.897555,28.52025443,99.6361508
1191.242008,28.40387507,99.76525412
1207.813835,28.28759558,99.89611157
1224.616199,28.17141868,100.0287436
1241.652308,28.05534713,100.1631707
1258.925412,27.93938381,100.2994137
1276.438809,27.82353164,100.4374935
1294.195841,27.70779363,100.577431
1312.199899,27.59217287,100.7192474
1330.454418,27.47667253,100.862964
1348.962883,27.36129585,101.0086022
1367.728826,27.24604616,101.1561835
1386.755829,27.13092689,101.3057296
1406.047524,27.01594154,101.4572623
1425.607594,26.90109372,101.6108033
1445.439771,26.7863871,101.7663748
1465.547841,26.67182548,101.9239986
1485.935642,26.55741274,102.0836971
1506.607066,26.44315285,102.2454923
1527.566058,26.3290499,102.4094066
1548.816619,26.21510808,102.5754623
1570.362804,26.10133166,102.7436818
1592.208727,25.98772506,102.9140875
1614.358557,25.87429277,103.086702
1636.816521,25.76103942,103.2615477
1659.586907,25.64796976,103.438647
1682.674061,25.53508862,103.6180226
1706.082389,25.42240099,103.7996968
1729.816359,25.30991197,103.9836921
1753.880502,25.19762678,104.1700309
1778.27941,25.08555076,104.3587356
1803.017741,24.97368941,104.5498285
1828.100216,24.86204834,104.7433318
1853.531623,24.7506333,104.9392675
1879.316817,24.63945019,105.1376577
1905.460718,24.52850502,105.3385242
1931.968317,24.41780399,105.5418888
1958.844674,24.30735342,105.7477729
1986.094917,24.19715977,105.9561979
2013.72425,24.08722969,106.1671849
2041.737945,23.97756994,106.3807548
2070.141349,23.86818748,106.5969282
2098.939884,23.7590894,106.8157256
2128.139046,23.65028297,107.037167
2157.744409,23.54177563,107.2612721
2187.761624,23.43357499,107.4880603
2218.19642,23.32568881,107.7175507
2249.054606,23.21812506,107.9497617
2280.342072,23.11089186,108.1847117
2312.06479,23.00399753,108.4224182
2344.228815,22.89745057,108.6628986
2376.840287,22.79125966,108.9061694
2409.905429,22.68543369,109.1522468
2443.430553,22.57998172,109.4011464
2477.422058,22.47491301,109.652883
2511.886432,22.37023703,109.9074708
2546.830253,22.26596344,110.1649235
2582.260191,22.16210211,110.4252537
2618.183008,22.05866312,110.6884734
2654.605562,21.95565675,110.9545939
2691.534804,21.8530935,111.2236255
2728.977783,21.75098407,111.4955775
2766.941645,21.64933939,111.7704583
2805.433638,21.5481706,112.0482755
2844.461107,21.44748906,112.3290354
2884.031503,21.34730637,112.6127432
2924.152378,21.24763434,112.8994032
2964.83139,21.148485,113.1890182
3006.076303,21.04987062,113.4815899
3047.89499,20.9518037,113.7771186
3090.295433,20.85429696,114.0756033
3133.285724,20.75736338,114.3770416
3176.874071,20.66101613,114.6814294
3221.068791,20.56526866,114.9887615
3265.878322,20.47013463,115.2990305
3311.311215,20.37562796,115.6122277
3357.376142,20.28176277,115.9283427
3404.081897,20.18855346,116.2473629
3451.437393,20.09601464,116.5692744
3499.45167,20.00416117,116.8940607
3548.133892,19.91300816,117.2217038
3597.493352,19.82257093,117.5521833
3647.539469,19.73286507,117.8854768
3698.281798,19.64390639,118.2215596
3749.730022,19.55571093,118.5604045
3801.893963,19.46829498,118.9019821
3854.783577,19.38167506,119.2462604
3908.408958,19.29586792,119.5932049
3962.780343,19.21089054,119.9427784
4017.908108,19.12676012,120.2949409
4073.802778,19.0434941,120.6496495
4130.47502,18.96111014,121.0068587
4187.935651,18.87962611,121.3665196
4246.195639,18.7990601,121.7285802
4305.266105,18.71943043,122.0929856
4365.158322,18.64075561,122.4596773
4425.883724,18.56305434,122.8285935
4487.453899,18.48634556,123.1996688
4549.880602,18.41064838,123.5728342
4613.175746,18.3359821,123.9480171
4677.351413,18.2623662,124.3251408
4742.419853,18.18982035,124.704125
4808.393484,18.11836439,125.084885
4875.284901,18.04801831,125.467332
4943.10687,17.97880228,125.8513732
5011.872336,17.9107366,126.2369109
5081.594426,17.84384171,126.6238432
5152.286446,17.7781382,127.0120635
5223.96189,17.71364678,127.4014602
5296.634439,17.65038826,127.7919169
5370.317964,17.58838356,128.1833123
5445.026528,17.52765371,128.5755195
5520.774393,17.4682198,128.9684066
5597.576015,17.41010299,129.361836
5675.446054,17.35332453,129.7556646
5754.399373,17.29790567,130.1497433
5834.451043,17.24386772,130.5439172
5915.616342,17.19123201,130.9380252
5997.910763,17.14001986,131.3318999
6081.350013,17.09025256,131.7253674
6165.950019,17.0419514,132.1182472
6251.726928,16.9951376,132.5103518
6338.697113,16.94983231,132.9014868
6426.877173,16.9060566,133.2914506
6516.283941,16.86383141,133.6800339
6606.93448,16.82317756,134.06702
6698.846094,16.78411572,134.452184
6792.036326,16.74666634,134.8352932
6886.522963,16.71084969,135.2161063
6982.324041,16.67668577,135.5943735
7079.457844,16.64419432,135.9698359
7177.942913,16.61339477,136.3422258
7277.798045,16.5843062,136.7112656
7379.042301,16.55694728,137.0766685
7481.695005,16.53133629,137.4381371
7585.77575,16.50749101,137.7953642
7691.304403,16.48542869,138.1480316
7798.301105,16.46516601,138.4958101
7906.78628,16.44671902,138.8383592
8016.780634,16.43010307,139.1753268
8128.305162,16.41533273,139.5063486
8241.38115,16.40242174,139.8310478
8356.030182,16.39138293,140.1490348
8472.274141,16.38222812,140.4599067
8590.135215,16.37496804,140.7632472
8709.6359,16.36961221,141.0586254
8830.799004,16.36616887,141.3455964
8953.647655,16.36464483,141.6237002
9078.205302,16.36504533,141.8924613
9204.495718,16.36737396,142.1513886
9332.543008,16.37163245,142.3999748
9462.371614,16.37782054,142.637696
9594.006315,16.38593581,142.8640111
9727.472238,16.39597346,143.078362
9862.794856,16.40792613,143.2801727
10000,16.42178368,143.468849
10139.11386,16.43753294,143.6437787
10280.16298,16.45515745,143.804331
10423.17429,16.47463722,143.9498565
10568.17509,16.49594836,144.0796869
10715.19305,16.51906286,144.1931354
